"key","message","comment","context"
"Amount","Bedrag",,
"Auto","Auto",,
"Bank","Bank",,
"Base","Basis",,
"Best","Beste",,
"Both","Beide",,
"Calculation Date",,,
"Cash management","Kasmiddelenbeheer",,
"Comments","Commentaar",,
"Company","Bedrijf",,
"Configuration","Configuratie",,
"Confirmed","Bevestigd",,
"Currency","Valuta",,
"Current balance","Huidig saldo",,
"Customers payment delay (Average in days)","Klanten betalingstermijn (gemiddeld in dagen)",,
"Date","Datum",,
"Details","Details",,
"Display","Vertoning",,
"Ending Balance","Eindsaldo",,
"Estimated date","Geschatte datum",,
"Estimated payment date","Geschatte betalingsdatum",,
"Expected","Verwacht",,
"Expense",,,
"Forecast","Voorspelling",,
"Forecast Assistant","Prognose-assistent",,
"Forecast Assistants","Prognose-assistenten",,
"Forecast Reasons","Redenen voor de prognoses",,
"Forecast Recap","Prognose Herziening",,
"Forecast Recaps","Prognose Herschikkingen",,
"Forecast Report","Prognoseverslag",,
"Forecast Reports","Prognose rapporten",,
"Forecast generator","Prognose generator",,
"Forecast reason","Geraamde reden",,
"Forecast reasons","Prognose redenen",,
"Forecast recap","Voorspelling recapitulatie",,
"ForecastLine.amount",,,
"ForecastLine.balance",,,
"ForecastLine.estimatedDate",,,
"ForecastLine.relatedToName",,,
"ForecastLine.type",,,
"ForecastLineType.in",,,
"ForecastLineType.out",,,
"ForecastOpportunitiesType.base",,,
"ForecastOpportunitiesType.best",,,
"ForecastOpportunitiesType.no",,,
"ForecastOpportunitiesType.worst",,,
"ForecastRecap","VoorspellingRecap",,
"ForecastRecap.bankDetailsIban",,,
"ForecastRecap.calculationDate",,,
"ForecastRecap.company",,,
"ForecastRecap.currency",,,
"ForecastRecap.endingBalance",,,
"ForecastRecap.fromDate",,,
"ForecastRecap.operationDetails",,,
"ForecastRecap.opportunitiesTypeSelect",,,
"ForecastRecap.startingBalance",,,
"ForecastRecap.title",,,
"ForecastRecap.toDate",,,
"ForecastRecapLine.balance",,,
"Forecasts","Voorspellingen",,
"Forecasts generated","Prognoses gegenereerd",,
"From","Van",,
"Generate","Genereer",,
"Invalid dates","Ongeldige data",,
"Invoice",,,
"Is report","Is rapport",,
"Line","Lijn",,
"Lines","Lijnen",,
"Marges","Schoonmaak",,
"No","Nee",,
"Payment delay (Average)","Betalingstermijn (gemiddeld)",,
"Periodicity","Periodiciteit",,
"Please select a company","Selecteer een bedrijf",,
"Populate","Bevolken",,
"Previsional Marges","Previsionelearges",,
"Previsional Sales","Voorlopige verkoop",,
"Previsional Spending","Voorlopige uitgaven",,
"Print",,,
"Purchase order",,,
"Realized","Gerealiseerd",,
"Reason","Reden",,
"Related to",,,
"Related to select",,,
"Sale order",,,
"Sales","Verkoop",,
"SalesMan","Verkoper",,
"Seq.",,,
"Spending","Uitgaven",,
"Starting Balance","Startbalans",,
"Suppliers payment delay (Average in days)","Leveranciers betalingstermijn (gemiddelde in dagen)",,
"Take into account opportunies","Houd rekening met opportuniteiten",,
"The company %s doesn't have any configured sequence for ForcastRecap",,,
"To","Naar",,
"Type","Type",,
"Update","Update",,
"Worst","Ergst",,
"Yes","Ja",,
"value:Cash management","waarde:Kasmiddelenbeheer",,
